true_sentiment,ticker,paraphrased_array
Positive,GBPUSD,. gbpad price analysis bulls eye another battle with 50dma hurdle in mid12100s.
Negative,USDJPY,..j's tamura inflation likely to slow pace of increase towards latter half of next fiscal year.
Negative,USDJPY,..jpy price analysis shrinks towards 13400 key support.
Negative,AUDUSD,. audud to approach 06800 amid soury markets ahead of fed..
Positive,EURUSD,. eurusd price analysis extends recovery above 10660 as investors increase risk capital capacity..
Neutral,GBPUSD,..pusd stabilizes above 12100 as risk on impulse increases f2c minutes..
Negative,EURUSD,..rusd trims gains near 10650 ahead of fomc minutes fed vs ecb.gence is in..
Negative,EURUSD,. eurusd risks a potential breakdown of e1. u..
Neutral,GBPUSD,. gbpusd clings to the consolidative stance in term of u..
Negative,AUDUSD,. autd downward bias is below 06820. u..
Negative,AUDUSD,. audsd falls near monthly low below mid06800s as traders await fomc..
Negative,EURUSD,. eurusd the downside risk is likely to dominate the bankbz..
Positive,EURUSD,. eurusd to climb back higher toward 1070010750 before the weekend...
Neutral,EURUSD,s german ifo business climate index improves to 911 in february vs 914..
Negative,GBPUSD,. a few more data publications and speeches by boe members might cause difficulties for gbp again. bankbz..
Neutral,EURUSD,..o's forecast german economy will not get around recession but it will be..
Negative,GBPUSD,. gbpusd drops to 1207570 and erodes a part of tuesday's upbeat uk pmiinsi..
Neutral,EURUSD,. eurusd cautious near a50 focus remains on the fomc..
Neutral,USDJPY,. usdjpy is focused on the 13550 region. u..
Neutral,USDJPY,. boj. as far as a possible turnaround in monetary policy is concerned. bankbz..
Neutral,USDJPY,..jpy consolidates near ytd top just below 13500 mark as fomc. looms..
Negative,GBPUSD,. gbpusd scope for dips back below the 120 level in the weeks ahead of rabo..
Neutral,EURUSD,. eurus is unlikely to be much below the 100 mark. bankbz..
Negative,USDJPY,. yen should strengthen versus the dollar. bn. paribas.
Negative,EURUSD,. eurusd break below 10615 to set up a test of january 6 low near 1048. bbh.
Negative,AUDUSD,. audsd flirts with monthly low holds above 06800 as traders await fomc..
Negative,GBPUSD,. gbpusd risks easing a little more. scotia..
Negative,GBPUSD,. gbpad pares intra day losses keeps the red around 12000 ahead of fomc..
Negative,EURUSD,. eusad a deeper drop towards 104105 is a real possibility. scotia..
Neutral,GBPUSD,. the eurusd has topide resistance ag. the 200 hour ma. the gbzd has 200h..
Negative,EURUSD,. eurusd price analysis further losses likely below 109..
Negative,USDJPY,. usdj expected to tick down by 125 over coming months. rabo..
Positive,EURUSD,..rusd extends higher and is back positive on the day.
Negative,USDJPY,..jp retreats further from two month highs eyes on fomc..
Positive,USDJPY,. usdjp risks appear more likely to the upside in the near term. muf..
Neutral,GBPUSD,..masd dips below the 200 hour ma. can it stay below now?.
Positive,GBPUSD,. gbpsd price analysis bulls holding the fort in the 12050s ahead of fomc..
Negative,EURUSD,. forex today fed's hawkishness boosts the us..
Negative,AUDUSD,. autred dives towards 06800 after f3 2's..
Negative,AUDUSD,..dusd back below the 1000 day..
Negative,USDJPY,. usdjpy price analysis bears are on the prowl.
Neutral,EURUSD,. eurusd finds itself around 10600 after a nosedive move posthawkish...
Negative,AUDUSD,. audusd licks its wounds at tweek low near 06800 on fed geopol...
Neutral,GBPUSD,. gbpad builds a cushion around 12040.atility looks persistent ahead of us..
Neutral,EURUSD,. eurusd price analysis bulls could be about to make a serious move but bears could pounce.
Neutral,USDJPY,..jpy pokes 13500 as fed talks china russia ties up low nominalh yields on japan..
Negative,AUDUSD,. audsd price analysis bears are in control testing bulls commitments at last weeks low..
Neutral,GBPUSD,. gbpad price analysis.s off. support line towards 121..
Positive,EURUSD,..rus.. three day losing streak to p00 as us dollar retreats. cautious..
Negative,USDJPY,. usdjpy price analysis slides towards 13450 support for rising wedge in..
Positive,AUDUSD,. audusd extends recovery to near 06840 as investors buy hawk - fed..
Negative,GBPUSD,. gbspp full recovery near 12050 amid brexit limbo uk pm sunk's struggle in pmq..
Positive,EURUSD,. eurusd scales above 10620 as investors shrug off fedlyinspiredflati..
Negative,EURUSD,. eurusd further weakness on the cards. u..
Neutral,USDJPY,..jpy cls to mild losses below r00 amid inactive yields mixed..
Negative,AUDUSD,) thedusd price analysis supportturnedresistance probes rebound from 200dma.
Negative,GBPUSD,. gbpusd faces extra consolidation in termite u..
Positive,EURUSD,the.zone hicp preview forecasts from four major banks upside ;.
Neutral,EURUSD,. eurus is likely to move into a 105110 range for now. credit sui..
Neutral,GBPUSD,. gbpusd sticks to modest gains above mid12000 lacks bullish..
Neutral,USDJPY,. usdj projected to end 2023 at 1250 soc..
Neutral,AUDUSD,. china's commerce ministry will take more measures to restore and expand..
Positive,USDJPY,. usdjpy still faces significant risks in the near term. u..
Neutral,AUDUSD,.. treasury sec yelles will resume discussions with china on economic issues at an appropriate time.
Positive,EURUSD,. the underlying trend is for the weakness to resume. soc..
Negative,EURUSD,. eurusd hoves around multiweek lows below c..
Neutral,GBPUSD,..e's mann more tightening is needed and a pivot is not..
Negative,USDJPY,. usdj expected to see a sustained break below 12727 after further shortter bank performance. credit sui..
Neutral,USDJPY,. usdjp extends its consolidative price move above 13500 downside is cushion..
Negative,EURUSD,. eurusd scope for retesting parity over the next years. bo..
Negative,EURUSD,. eurusd a return towards 105 cannot be ruled out. soc..
Neutral,AUDUSD,. audsd pares modest intraday gains trades at above 200 dma support near 0680..
Neutral,GBPUSD,. boes mann some businesses expect to raise wages by pay to retain..
Positive,GBPUSD,. gbpusd gains to gather traction on a break above key resistance at v0. ocb..
Neutral,EURUSD,. eurusd could trade on the offered side for a few weeks then...
Negative,USDJPY,..y's outlook remains bright at nord..
Neutral,GBPUSD,. gbpusd hass off daily low flat. below mid12000 ahead of us..
Negative,EURUSD,. eurusd mid104 area looks to be the destination over the next few weeks. scotia..
Negative,GBPUSD,. gbpusd quick drop to major support at 11860 on a loss of support in the low119s. scotia..
Negative,EURUSD,. eurusd price analysis next on the downside of the 202 s..
Positive,USDJPY,..jpy spikes to fresh ytd peak on better than expected us jobless claims data.
Positive,EURUSD,. eurusd see in a 105111 range through q2 getting close to buy the dip.. td..
Neutral,GBPUSD,. gbdd cls to gains around 12050 amidst flat..
Negative,EURUSD,. eurusd to continue correcting errors in the nearterm. hf..
Negative,AUDUSD,. audusd hoves around 0680 after hitting a new february..
Neutral,USDJPY,"..j. fails on the break to new cycle highs, but sellers still las downside.."
Positive,AUDUSD,. audd tries another break of the 200 day..
Neutral,EURUSD,. eurusd price analysis bulls looking for cues for a short squeeze..
Negative,EURUSD,. forex adjusted us data fueled market concerns ahead of pce inflation figures.
Negative,USDJPY,..jp bears are in town and a break of 13450 is..
Negative,GBPUSD,. gbzd price analysis creeps below the 100day em price but fails to crack 1200..
Positive,AUDUSD,..dsd snaps back above 1000 day ma at 0. 68..
Negative,AUDUSD,. audusd fades corrective flash off sevenweek low near 06800 us pce inflation..
Negative,EURUSD,. eurusd is in control around 10600 ahead of fed's preferred inflation..
Negative,USDJPY,. almost half of japan firms want boj to revise negative rate..
Negative,USDJPY,..jpy price analysis will make a move into longs as cpi rolls..
Negative,GBPUSD,. gbpd finds interest around 12000.ide is favored ahead of us pce..
Neutral,AUDUSD,. audisd price analysis bulls pressured but eye a break of 06820s.
Neutral,USDJPY,. boj governor candidate uedas comments at parliamentary..
Negative,USDJPY,.. sjp fallmets to session lows to test new commitments.
Neutral,EURUSD,..masd breaks above 10600 as yields extend losses us pce inflation in..
Neutral,USDJPY,) sj governor nominee ueda shortening yield target one of many options in future.
Neutral,GBPUSD,. gbpusd price analysis stays low above 12000 as bears fear bump of road..
Positive,USDJPY,the.j gov nominee ueda weak yen benefits exports inbound tourism and some service sectors.
Neutral,AUDUSD,. audusd -ed 06850 amid mixed sentiment ahead of fed's favorite inflation..
Neutral,USDJPY,. usdjpy price analysis whipsaws within key hma envelope below 13500 on boj..
Neutral,AUDUSD,..dsd moves toward key 10 day ma support again. buyers are leaning..
Negative,EURUSD,the. finmin le maire europe is thinking and working on new sanctions on russia.
Negative,USDJPY,).j. governor nominees uchida himino struggle to defend dovish bias usdjpy grinds below p..
Neutral,EURUSD,. eurusd clings to 10600 as german statistics fed's preferred inflation gauge lo..
Neutral,USDJPY,. usdjpy squeezes around 13470 postbank of japan ueda's speech inspired volatility.
Negative,GBPUSD,. gbpusd looks vulnerable above 12000 despite hawkish boe -..
Negative,EURUSD,. eurusd risks a deeper drop at termite u..
Neutral,EURUSD,. forex today markets remain choppy ahead of key us data..
Negative,GBPUSD,. gbpusd losses seen are below g0 % uob.
Negative,AUDUSD,. audu a further decline appears on the cards. u..
Negative,AUDUSD,. audsd is at p800 bears flirt with 200day sma ahead of us pce price..
Neutral,USDJPY,. usdj reported dwindling bets for a move to r50. u..
Positive,USDJPY,. usdjp could hit the 136137 area over the next two of days...
Positive,EURUSD,. it might get increasingly difficult for russia to gain further ground against the eur. bankbz..
Neutral,EURUSD,..b's na - cant rule significant further rate hikes after..
Neutral,EURUSD,"..'s lin, no business as usual with russia as long as this war.."
Neutral,GBPUSD,. gbpusd support levels at 118501950 may hold over the next couple of weeks...
Positive,USDJPY,. usdjf renewed appreciation of the yen against dollar should remain difficult for now. bankbz..
Positive,USDJPY,..jpy jumps up closer to ytd top is above a00 ahead of us pce price..
Negative,EURUSD,. eurusd appears as below 10600 ahead of us data.
Negative,EURUSD,. eurusd potential to press 10575 support and move to 10500 support..
Positive,GBPUSD,. gbpud sticks to modest gains above 12000 focus remains glued to us pce price..
Positive,USDJPY,. usdjp to extend the bounce toward 1370070 on a cross above 1355070 soc..
Neutral,USDJPY,. usdjp us core pce and ust yields will be bigger drivers in the near term. ocb..
Negative,EURUSD,. euraind steady losses over the past week are set to extend to scotia..
Negative,AUDUSD,. audisd price analysis breaks key 200 dma and 382 fip support seems vulnerable.
Positive,USDJPY,. usdj : room to keep drifting higher than muf..
Positive,USDJPY,..jpy builds on strong intra day rally climbs to 13600 on stronger us pce price index.
Negative,EURUSD,..rusd sinks to perweek lows near 10540 postus pc..
Neutral,EURUSD,. eurusd may sustain a shortterm dip but be higher in the long term. nord..
Negative,EURUSD,. eurusd price analysis rising bets for drop to 104..
Positive,USDJPY,. usdjpy continues the run..
Neutral,GBPUSD,..zd reaches key 100 / 200 day target... key level for buyers and..
Negative,GBPUSD,. dovish boe should weigh on the pound. commerz..
Positive,USDJPY,. thejpy climbs to fresh 2023high above 136..
Negative,GBPUSD,. gbzd drops below 12000 heads for lowest weekly close in three months.
Negative,EURUSD,. eurusd keeps the pressure to the downs..
Neutral,GBPUSD,..zs.s off 100 / 200 day ma. what now?.
Negative,EURUSD,. eurusd room for a slide toward the 1030 area. muf..
Positive,USDJPY,..jpy moves to a new session..
Positive,AUDUSD,. adusd price analysis bulls eye a correction to test dynamic..
Positive,EURUSD,..b lagarde we will do another 50 basis points in march.
Negative,EURUSD,. eurusd looks more downside below 10540 as us pce propels hawk. fed..
Positive,GBPUSD,..'s raab uk on cusp of new brexit deal with eu over northern ireland.
Positive,GBPUSD,. uk pm sunak may have obtained significant concessions in a looming brexit deal with the times.
Negative,GBPUSD,. gbpusd price analysis downside looks favored as us pce data supports more rates from..
Neutral,AUDUSD,. audisd licks its wounds above 06700 as key pmi data aussie q4 gdp loom.
Negative,USDJPY,. usdjpy price analysis bears possibility near 136..
Negative,EURUSD,. eurusd skates on thin ice around a50 amid hawkish ecb talks higher fed rate..
Negative,GBPUSD,. gbspd - to raise brexit hopes around 2040 amid hawkish government..
Positive,GBPUSD,. most uk businesses optimistic about medium term economic growth survey..
Positive,AUDUSD,. audusd price analysis rebounds from 06730 support..
Neutral,AUDUSD,..boc report economy will rebound in 202..
Negative,USDJPY,..jpy retraces to 13600 as yields pull back from -day high boj talks..
Neutral,USDJPY,. usdj. the yen is to stay limited. goldman..
Neutral,AUDUSD,".. - in china in an awkward, international position over.."
Negative,EURUSD,. eurusd price analysis looks set for a breakdown below 105..
Neutral,USDJPY,. bojb nominee ueda is to continue monetary easing from now on as..
Negative,GBPUSD,. gbpusd price analysis cable bears keep 11930 on radar as key brexit announcements loom.
Positive,USDJPY,..jpy price analysis makes way for 13700 as boj ueda reiterates favor for easy..
Positive,USDJPY,the ijp nominee ueda possible to push up prices wages with monetary easing.
Negative,EURUSD,. eurusd bears flex muscles above 100000 ahead of us durable goods..
Negative,AUDUSD,. auloud prints a fresh seven day low at 06700 as fed's battle against us inflation brawl..
Negative,EURUSD,. eurusd could weaken below s 00. u..
Neutral,USDJPY,.. boj gov ueda wont comment on what further steps are available.
Negative,GBPUSD,. gbpusd further losses seen below 1180. u..
Positive,EURCHF,. eurasiaf to trade moderately higher over the coming months. bankbz..
Negative,AUDUSD,. aubd nearterm outlook remains weak. u..
Neutral,USDJPY,. usdj president ueda not interested in upsetting yen exchange rates before assuming his new role at bankbz..
Positive,USDJPY,. usdjpy next on the upside comes 13700 u..
Negative,EURUSD,. eurusd could trade down to x0...
Positive,GBPUSD,..fed manages to defend and rebound from 200day sma amid a modest usd down..
Positive,USDJPY,. eurusd to move lower usdjpy risks lean higher in tds.
Negative,GBPUSD,. gbpusd at risk of falling to 11850 this week...
Neutral,USDJPY,. usdjpy remains on the defensive below ytd peak amid softer usd bulli potential..
Neutral,EURUSD,. eurusd the analysis of the pair is pretty multidimensional at present. commerz..
Neutral,EURUSD,. eurusd finds some rest reste near 105. looks at data.
Negative,AUDUSD,..dsd languishes near its lowest level since january holds just above 0600..
Negative,EURUSD,.. area economic sentiment indicator falls to 997 in february vs 101..
Positive,EURUSD,. eurusd estimated at 105 by midyear recovery to 110 expected by year end. bo..
Neutral,GBPUSD,. gbbd resulting from brexit is unlikely to have a lasting impact on muf..
Neutral,EURUSD,. eurusd further declined but a rebound first for soc..
Neutral,EURUSD,.. are the us durable goods orders and how could they affect eusco?.
Positive,USDJPY,. usdjpy is vulnerable to a further correction lower than muf..
Positive,GBPUSD,. gbpusd could enjoy faster shortterm gains to 12050. scotia..
Negative,EURUSD,. eurusd has to extend to the mid104 area before a more sustainable base can develop. scotia..
Positive,EURUSD,. eurusd relative rate trends to favour the euro again in the next months. soc..
Positive,EURUSD,) eurusd price analysis downside alleviated above 10804.
Positive,EURUSD,. euxd extends gains breaks above 10600 as dxy tumble..
Positive,GBPUSD,. gbpusd climbs above 12050 post us data ukeu northern ireland..
Neutral,USDJPY,..jpy price analysis seeaws near the ytd high around 13620..
Positive,AUDUSD,. adusd climbs to 06730s on mixed us data though downside risks..
Neutral,EURUSD,..rusd price analysis bulls on the sidelines in anticipation of a discount.
Neutral,EURUSD,. forex today sentiment fragile ahead of clearer clues.
Positive,GBPUSD,..psd price analysis bulls stay in control and eye a test of trend -..
Neutral,AUDUSD,. audud faces barricades around 06750 ahead of australian gdp and us pmi data.
Positive,AUDUSD,.. house scaled back plans to regulate us investment in china. politic..
Negative,USDJPY,..j's wakatabe the stagnation risk has yet to pass.
Negative,EURUSD,. euland struggles to extend weekstart rebound to top00 us. confidence..
Negative,USDJPY,..jpy price analysis will seek a break in trendline..
Positive,GBPUSD,. gbpusd bulls hold the fort as us dollar stays..
